OTU	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	
00027f067953bdb8d558c278e9b72e23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
00096c95efcfe7dcc03a1b13b81ce41a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	74	216	251	0	75	0	
0046825a49af4d939efd5ed1b6414270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	57	0	0	141	161	200	0	134	23	
0046bb07044ca36a27d1d2f6e3c684b6	0	0	3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
00aac6e83d2836de8a0ecb569e7cad6f	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
00b69bbadc59b5af7ee80f0e8226263d	637	0	25	30	597	562	15	15	0	235	927	234	76	384	363	329	94	84	18	12	54	0	70	32	98	84	64	43	41	28	617	705	423	35	485	186	
00c7251b341bfa98be50035e90ec2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
00d6593900e22ab80575c2b5abb559dd	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
00e9193da7316236240031184d84dca7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	
01054a4c3595b013aff7508521d27978	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010926371e15c0f8c77d779d78f87b57	0	43	55	29	0	0	33	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
01167e4aaf3eb3efb7081ea1e0d5a0e9	26	12	11	0	32	23	0	13	19	0	17	0	29	0	0	0	50	22	0	0	0	28	49	42	21	231	217	170	28	41	0	0	0	42	0	258	
0147bdff76aaf8721bc494015391ae50	0	0	0	0	21	0	0	0	0	0	0	0	0	60	61	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	19	0	0	0	
014cce1e4a010aa414e9c2d151d023e0	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
014f7f89a6342031f95e72331f898a55	0	0	0	0	13	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0	
015d7f1ac687d0cb28cd822978a94946	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
01ac754d908e26b8b25d2b890643766b	0	0	6	3	2	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	3	2	0	5	0	
01d39cc8d9b119acd849cb754eecaa7b	629	104	136	70	693	514	117	125	114	189	656	386	1008	44	72	57	733	767	683	423	569	924	652	1241	2012	737	535	752	2081	1776	123	61	86	1843	176	784	
01e338098641149ec84079ee3a4d4d28	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
01f0357ea0e433c23f6c803fe0577865	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0221ac31aa16e6e6b7d213958446adeb	8	14	18	22	13	16	25	26	30	0	17	27	0	9	0	0	0	0	0	0	0	0	0	0	4	8	8	8	5	0	20	11	13	0	0	0	
02701a92d57da6a2001e7148a840180d	0	1	0	0	23	0	12	0	0	0	0	0	0	63	54	86	0	0	0	0	0	0	0	0	2	164	117	189	3	6	2	8	7	6	4	154	
02791268306e7734a1d8eba1d4d3a194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
02c302af6f658bf4ca543cf786970ec5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
